Client_Id,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_Count,Contacts_Count,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio
713071383,Existing Customer,54.0,F,1,Graduate,Single,Unknown,Blue,36.0,1,3.0,3.0,3723.0,1728,1995.0,8554.0,99.0,0.464
714246333,Attrited Customer,58.0,F,4,High School,Married,Unknown,Blue,48.0,1,4.0,3.0,5396.0,1803,3593.0,2107.0,39.0,0.334
718206783,Existing Customer,45.0,F,4,Graduate,Single,Less than $40K,Gold,36.0,6,1.0,3.0,15987.0,1648,14339.0,1436.0,36.0,0.103
721096983,Existing Customer,34.0,F,2,Graduate,Single,Less than $40K,Blue,36.0,4,3.0,4.0,3625.0,2517,1108.0,2616.0,46.0,0.694
720028683,Existing Customer,49.0,F,2,High School,Married,$40K - $60K,Blue,39.0,5,3.0,4.0,2720.0,1926,794.0,3806.0,61.0,0.708
778942233,Existing Customer,60.0,F,0,Doctorate,Married,Less than $40K,Blue,45.0,5,2.0,4.0,1438.3,648,790.3,1267.0,27.0,0.451
708682908,Existing Customer,43.0,F,4,Graduate,Single,Unknown,Blue,28.0,2,2.0,1.0,2838.0,1934,904.0,4404.086303939963,87.0,0.681
720670458,Existing Customer,52.0,F,2,Graduate,Single,$40K - $60K,Blue,45.0,3,1.0,3.0,3476.0,1560,1916.0,3496.0,58.0,0.449
719952408,Existing Customer,30.0,M,0,Graduate,Married,Less than $40K,Blue,36.0,3,3.0,2.0,2550.0,1623,927.0,1870.0,51.0,0.636
708412758,Attrited Customer,33.0,F,3,Graduate,Single,Less than $40K,Blue,36.0,5,2.0,3.0,1457.0,0,1457.0,2200.0,45.0,0.0
716987358,Attrited Customer,29.0,M,0,Post-Graduate,Divorced,$60K - $80K,Blue,35.928409203120374,2,1.0,3.0,8022.0,0,8022.0,5660.0,59.0,0.0
713930433,Attrited Customer,57.0,M,2,Uneducated,Married,$80K - $120K,Blue,36.0,5,3.0,3.0,4316.0,0,4316.0,1920.0,53.0,0.0
712374708,Existing Customer,28.0,F,0,Graduate,Married,Unknown,Blue,35.928409203120374,2,2.0,2.0,23103.0,897,22206.0,4404.086303939963,120.0,0.039
712763808,Existing Customer,38.0,M,2,Graduate,Single,$60K - $80K,Blue,36.0,3,3.0,3.0,6692.0,2037,4655.0,1468.0,36.0,0.304
710301858,Existing Customer,49.0,F,5,High School,Married,Unknown,Silver,36.0,6,2.0,2.0,8631.953698034955,2019,7469.139636614989,3820.0,72.0,0.058
827408058,Existing Customer,44.0,F,3,Graduate,Married,Less than $40K,Blue,40.0,6,2.0,2.0,2232.0,2002,230.0,3803.0,68.0,0.897
717316008,Existing Customer,38.0,M,2,Graduate,Married,$120K +,Blue,36.0,6,2.0,3.0,3782.0,0,3782.0,4404.086303939963,117.0,0.0
789101883,Existing Customer,32.0,M,3,Graduate,Single,$120K +,Blue,35.94394844992638,6,2.0,2.0,14244.0,1673,12571.0,2729.0,66.0,0.117
710082708,Existing Customer,44.0,M,4,Post-Graduate,Single,$120K +,Blue,32.0,2,4.0,2.0,8631.953698034955,2102,21855.0,1276.0,26.0,0.088
711535158,Attrited Customer,46.0,F,1,College,Married,Unknown,Blue,35.0,5,3.0,3.0,2197.0,461,1736.0,1955.0,42.0,0.21
710595783,Existing Customer,46.0,F,3,Graduate,Married,Unknown,Blue,39.0,4,1.0,2.0,6644.0,2082,4562.0,4659.0,76.0,0.313
815582358,Existing Customer,47.0,F,5,Graduate,Married,Less than $40K,Blue,42.0,2,1.0,2.0,2519.0,1584,935.0,4404.086303939963,95.0,0.629
