Client_Id,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_Count,Contacts_Count,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio
768805383,Existing Customer,45.0,M,3,High School,Married,$60K - $80K,Blue,39.0,5,1.0,3.0,12691.0,777,11914.0,1144.0,42.0,0.061
818770008,Existing Customer,49.0,F,5,Graduate,Single,Less than $40K,Blue,44.0,6,1.0,2.0,8256.0,864,7392.0,1291.0,33.0,0.105
713982108,Existing Customer,51.0,M,3,Graduate,Married,$80K - $120K,Blue,36.0,4,1.0,2.4553174681544387,3418.0,0,3418.0,1887.0,20.0,0.0
769911858,Existing Customer,40.0,F,4,High School,Married,Less than $40K,Blue,34.0,3,4.0,1.0,3313.0,2517,796.0,1171.0,20.0,0.76
709106358,Existing Customer,40.0,M,3,Uneducated,Married,$60K - $80K,Blue,21.0,5,1.0,2.4553174681544387,4716.0,0,4716.0,816.0,28.0,0.0
713061558,Existing Customer,44.0,M,2,Graduate,Married,$40K - $60K,Blue,36.0,3,1.0,2.0,4010.0,1247,2763.0,1088.0,24.0,0.311
810347208,Existing Customer,51.0,M,4,Graduate,Married,$120K +,Gold,46.0,6,1.0,3.0,8631.953698034955,2264,7469.139636614989,1330.0,31.0,0.066
818906208,Existing Customer,32.0,M,0,High School,Married,$60K - $80K,Silver,27.0,2,2.0,2.0,8631.953698034955,1396,7469.139636614989,1538.0,36.0,0.048
710930508,Existing Customer,37.0,M,3,Uneducated,Single,$60K - $80K,Blue,36.0,5,2.0,2.4553174681544387,22352.0,2517,19835.0,1350.0,24.0,0.113
719661558,Existing Customer,48.0,M,2,Graduate,Single,$80K - $120K,Blue,36.0,6,3.0,3.0,11656.0,1677,9979.0,1441.0,32.0,0.144
708790833,Existing Customer,42.0,M,5,Uneducated,Married,$120K +,Blue,31.0,5,3.0,2.0,6748.0,1467,5281.0,1201.0,42.0,0.217
710821833,Existing Customer,65.0,M,1,Graduate,Married,$40K - $60K,Blue,35.928409203120374,6,2.0,3.0,9095.0,1587,7508.0,1314.0,26.0,0.174
710599683,Existing Customer,56.0,M,1,College,Single,$80K - $120K,Blue,36.0,3,2.3411671768539546,2.4553174681544387,11751.0,0,11751.0,1539.0,17.0,0.0
816082233,Existing Customer,35.0,M,3,Graduate,Married,$60K - $80K,Blue,30.0,5,1.0,3.0,8547.0,1666,6881.0,1311.0,33.0,0.195
712396908,Existing Customer,57.0,F,2,Graduate,Married,Less than $40K,Blue,48.0,5,2.0,2.0,2436.0,680,1756.0,1570.0,29.0,0.279
714885258,Existing Customer,44.0,M,4,Graduate,Married,$80K - $120K,Blue,37.0,5,1.0,2.0,4234.0,972,3262.0,1348.0,27.0,0.23
709967358,Existing Customer,48.0,M,4,Post-Graduate,Single,$80K - $120K,Blue,36.0,6,2.0,3.0,8631.953698034955,2362,7469.139636614989,1671.0,27.0,0.078
753327333,Existing Customer,41.0,M,3,Graduate,Married,$80K - $120K,Blue,34.0,4,4.0,1.0,13535.0,1291,12244.0,1028.0,21.0,0.095
806160108,Existing Customer,61.0,M,1,High School,Married,$40K - $60K,Blue,35.928409203120374,2,2.0,3.0,3193.0,2517,676.0,1336.0,30.0,0.788
709327383,Existing Customer,45.0,F,2,Graduate,Married,Unknown,Blue,37.0,6,1.0,2.0,14470.0,1157,13313.0,1207.0,21.0,0.08
806165208,Existing Customer,47.0,M,1,Doctorate,Divorced,$60K - $80K,Blue,42.0,5,2.0,2.4553174681544387,20979.0,1800,19179.0,1178.0,27.0,0.086
708508758,Attrited Customer,62.0,F,0,Graduate,Married,Less than $40K,Blue,49.0,2,3.0,3.0,1438.3,0,1438.3,692.0,16.0,0.0
784725333,Existing Customer,41.0,M,3,High School,Married,$40K - $60K,Blue,33.0,4,2.0,1.0,4470.0,680,3790.0,931.0,18.0,0.152
811604133,Existing Customer,47.0,F,4,Graduate,Single,Less than $40K,Blue,36.0,3,3.0,2.0,2492.0,1560,932.0,1126.0,23.0,0.626
789124683,Existing Customer,54.0,M,2,Graduate,Married,$80K - $120K,Blue,42.0,4,2.0,3.0,12217.0,0,12217.0,1110.0,21.0,0.0
771071958,Existing Customer,41.0,F,3,Graduate,Single,Less than $40K,Blue,28.0,6,1.0,2.0,7768.0,1669,6099.0,1051.0,22.0,0.215
720466383,Existing Customer,59.0,M,1,High School,Married,$40K - $60K,Blue,46.0,4,1.0,2.0,14784.0,1374,13410.0,1197.0,23.0,0.093
804424383,Existing Customer,63.0,M,1,Graduate,Married,$60K - $80K,Blue,35.928409203120374,3,3.0,2.0,10215.0,1010,9205.0,1904.0,40.0,0.099
718813833,Existing Customer,44.0,F,3,Uneducated,Single,Unknown,Blue,34.0,5,2.0,2.0,10100.0,0,10100.0,1052.0,18.0,0.0
806624208,Existing Customer,47.0,M,4,High School,Married,$40K - $60K,Blue,42.0,6,2.3411671768539546,2.4553174681544387,4785.0,1362,3423.0,1045.0,38.0,0.285
778348233,Existing Customer,53.0,M,3,Graduate,Married,$80K - $120K,Blue,33.0,3,2.0,3.0,2753.0,1811,942.0,1038.0,25.0,0.658
712991808,Existing Customer,53.0,M,2,Uneducated,Married,$60K - $80K,Blue,48.0,2,2.3411671768539546,1.0,2451.0,1690,761.0,1596.0,26.0,0.69
709029408,Existing Customer,41.0,M,4,Graduate,Married,$60K - $80K,Blue,36.0,4,1.0,2.0,8923.0,2517,6406.0,1589.0,24.0,0.282
788658483,Existing Customer,53.0,F,2,College,Married,Less than $40K,Blue,38.0,5,2.0,3.0,2650.0,1490,1160.0,1411.0,28.0,0.562
787937058,Existing Customer,58.0,M,0,Graduate,Married,$80K - $120K,Blue,49.0,6,2.0,2.0,12555.0,1696,10859.0,1291.0,24.0,0.135
715318008,Existing Customer,55.0,F,1,College,Single,Less than $40K,Blue,36.0,4,2.0,1.0,3520.0,1914,1606.0,1407.0,43.0,0.544
713962233,Existing Customer,55.0,F,3,Graduate,Married,Less than $40K,Blue,36.0,6,2.0,3.0,3035.0,2298,737.0,1877.0,37.0,0.757
785432733,Existing Customer,42.0,F,4,High School,Married,Less than $40K,Gold,36.0,2,3.0,3.0,15433.0,0,15433.0,966.0,22.0,0.0
715190283,Existing Customer,57.0,F,1,Graduate,Married,$40K - $60K,Blue,49.0,3,3.0,2.0,3672.0,886,2786.0,1464.0,28.0,0.241
708300483,Attrited Customer,66.0,F,0,Doctorate,Married,Unknown,Blue,35.928409203120374,5,4.0,3.0,7882.0,605,7277.0,704.0,16.0,0.077
827111283,Existing Customer,45.0,M,3,Graduate,Single,$80K - $120K,Blue,41.0,2,2.0,2.0,8631.953698034955,578,7469.139636614989,1109.0,28.0,0.018
758551608,Existing Customer,51.0,M,2,Graduate,Married,$40K - $60K,Blue,44.0,4,1.0,2.4553174681544387,6205.0,2204,4001.0,1347.0,28.0,0.355
773146383,Existing Customer,50.0,F,1,College,Single,$40K - $60K,Silver,43.0,3,2.0,3.0,17304.0,2517,14787.0,1756.0,33.0,0.145
778493808,Existing Customer,49.0,M,3,High School,Married,$60K - $80K,Blue,37.0,5,2.0,1.0,3906.0,0,3906.0,1756.0,32.0,0.0
720572508,Existing Customer,38.0,F,4,Graduate,Single,Unknown,Blue,28.0,2,3.0,3.0,9830.0,2055,7775.0,1042.0,23.0,0.209
712661433,Existing Customer,49.0,M,4,Uneducated,Single,$80K - $120K,Blue,30.0,3,2.0,3.0,8631.953698034955,0,7469.139636614989,1444.0,28.0,0.0
789172683,Existing Customer,56.0,M,2,Doctorate,Married,$60K - $80K,Blue,45.0,6,2.0,2.4553174681544387,2283.0,1430,853.0,1741.0,27.0,0.626
738406533,Existing Customer,59.0,M,1,Doctorate,Married,$40K - $60K,Blue,35.94394844992638,3,2.0,2.0,2548.0,2020,528.0,1719.0,27.0,0.793
799723908,Existing Customer,46.0,M,3,High School,Married,$80K - $120K,Blue,40.0,4,3.0,3.0,19458.0,1435,18023.0,1217.0,27.0,0.074
771490833,Existing Customer,52.0,M,1,College,Single,$80K - $120K,Blue,40.0,5,1.0,1.0,4745.0,1227,3518.0,1140.0,40.0,0.259
720756708,Existing Customer,52.0,F,3,Graduate,Married,Less than $40K,Blue,41.0,6,3.0,2.0,2622.0,1549,1073.0,1878.0,30.0,0.591
779471883,Attrited Customer,54.0,F,1,Graduate,Married,Less than $40K,Blue,40.0,2,3.0,1.0,1438.3,808,630.3,705.0,19.0,0.562
711525033,Existing Customer,66.0,F,0,High School,Married,Less than $40K,Blue,35.928409203120374,3,4.0,2.0,3171.0,2179,992.0,1946.0,38.0,0.687
712813458,Existing Customer,49.0,M,2,Graduate,Married,$120K +,Blue,36.0,4,2.0,2.4553174681544387,19763.0,2517,17246.0,1414.0,35.0,0.127
714374133,Attrited Customer,56.0,M,2,Graduate,Married,$120K +,Blue,36.0,1,3.0,3.0,15769.0,0,15769.0,602.0,15.0,0.0
717891558,Existing Customer,49.0,F,4,Graduate,Married,Less than $40K,Blue,36.0,6,4.0,2.0,3298.0,2200,1098.0,1052.0,32.0,0.667
716632758,Existing Customer,49.0,F,3,Graduate,Single,Less than $40K,Blue,36.0,2,2.0,2.4553174681544387,2802.0,2363,439.0,1295.0,40.0,0.843
768563658,Existing Customer,56.0,M,2,Uneducated,Married,$40K - $60K,Blue,50.0,4,2.0,3.0,4458.0,1880,2578.0,1424.0,29.0,0.422
711427458,Existing Customer,44.0,F,5,Graduate,Married,Unknown,Blue,35.0,4,1.0,2.0,6273.0,978,5295.0,1359.0,25.0,0.156
714091983,Existing Customer,42.0,M,2,High School,Single,$60K - $80K,Blue,34.0,4,4.0,3.0,3336.0,1753,1583.0,1168.0,27.0,0.525
787584108,Existing Customer,55.0,M,3,Graduate,Married,$80K - $120K,Blue,47.0,4,2.0,3.0,3436.0,2016,1420.0,1097.0,33.0,0.587
712030833,Attrited Customer,48.0,M,2,Graduate,Married,$60K - $80K,Silver,35.0,2,4.0,4.0,8631.953698034955,0,7469.139636614989,691.0,15.0,0.0
711481533,Existing Customer,39.0,M,1,High School,Divorced,$60K - $80K,Blue,33.0,5,3.0,3.0,5926.0,1251,4675.0,1316.0,28.0,0.211
710082708,Existing Customer,44.0,M,4,Post-Graduate,Single,$120K +,Blue,32.0,2,4.0,2.0,8631.953698034955,2102,21855.0,1276.0,26.0,0.088
708155733,Existing Customer,53.0,M,2,High School,Single,$120K +,Blue,44.0,4,2.0,2.0,14734.0,1634,13100.0,1289.0,23.0,0.111
788979258,Existing Customer,51.0,M,4,Uneducated,Single,$80K - $120K,Silver,38.0,4,1.0,4.0,8631.953698034955,1515,7469.139636614989,1293.0,32.0,0.044
807986133,Existing Customer,57.0,M,2,College,Married,$60K - $80K,Blue,35.94394844992638,5,3.0,3.0,6584.0,1817,4767.0,1353.0,35.0,0.276
